billnumber,billid,billstatusdate,billstatus,billtitle,billdescription,new_column_name
AJR6,1972625,2025-02-17,1,"Recognizing that the Wisconsin State Legislature supports nuclear power and fusion energy as clean energy sources that are critical to safely meeting Wisconsin’s growing energy demands and declaring the legislature’s commitment to the continuation and expansion of nuclear power and nuclear technologies, the development of nuclear technologies and fusion energy, and employing the leadership and resources necessary to support the development of and investment in nuclear power, fusion energy, and related technologies in the state.","Relating to: recognizing that the Wisconsin State Legislature supports nuclear power and fusion energy as clean energy sources that are critical to safely meeting Wisconsin’s growing energy demands and declaring the legislature’s commitment to the continuation and expansion of nuclear power and nuclear technologies, the development of nuclear technologies and fusion energy, and employing the leadership and resources necessary to support the development of and investment in nuclear power, fusion energy, and related technologies in the state.",
AJR8,1972811,2025-02-17,1,Restricting the governor’s partial veto authority to only rejecting entire bill sections of an appropriation bill that are capable of separate enactment and reducing appropriations in a bill (first consideration).,To amend section 10 (1) (c) of article V of the constitution; Relating to: restricting the governor’s partial veto authority to only rejecting entire bill sections of an appropriation bill that are capable of separate enactment and reducing appropriations in a bill (first consideration).,
AJR9,1972760,2025-02-17,1,Honoring the life and enduring legacy of Robert George Uecker.,Relating to: honoring the life and enduring legacy of Robert George Uecker.,
AB25,1970309,2025-02-13,1,"An incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.","An Act to repeal 196.485 (1) (cr), 196.485 (1) (ef) and 196.485 (3g); to create 196.485 (1) (cr), 196.485 (1) (ef) and 196.485 (3g) of the statutes; Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.",
AB24,1967971,2025-02-12,1,County sheriff assistance with certain federal immigration functions. (FE),An Act to create 59.28 (3) and 79.039 (1g) of the statutes; Relating to: county sheriff assistance with certain federal immigration functions. (FE),
SB28,1967564,2025-02-12,1,"An incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.","An Act to repeal 196.485 (1) (cr), 196.485 (1) (ef) and 196.485 (3g); to create 196.485 (1) (cr), 196.485 (1) (ef) and 196.485 (3g) of the statutes; Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.",
SB29,1967616,2025-02-12,1,Requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,An Act to amend 119.04 (1); to create 120.12 (29) of the statutes; Relating to: requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,
SB30,1967868,2025-02-12,1,"Required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)","An Act to amend 118.165 (1) (d) and 118.33 (1) (a) 1. b.; to create 115.28 (55v), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (L) 9. of the statutes; Relating to: required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)",
SB31,1967743,2025-02-12,1,State agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE),"An Act to renumber and amend 251.07; to amend 165.25 (6) (c), 251.07 (title), 252.04 (9) and 895.46 (5) (b); to create 251.07 (1) and 252.01 (5) of the statutes; Relating to: state agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE)",
SB32,1967920,2025-02-12,1,Requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE),"An Act to amend 118.24 (1), 119.44 (2) (c) and 121.085 (1); to create 120.18 (1) (h) and 121.10 of the statutes; Relating to: requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE)",
