docType,billId,billNumber,session,title,description,status,statusDate,last_action,last_action_date,url,pdf_link,txt_link,amendments,amendment_links,seeAlso,history
Assembly Bill,1958843,AB11,2025-2026 Regular Session,Pelvic exams on unconscious patients and creating an administrative rule related to hospital requirements for pelvic exams on unconscious patients.,An Act to create 50.373 of the statutes; Relating to: pelvic exams on unconscious patients and creating an administrative rule related to hospital requirements for pelvic exams on unconscious patients.,Introduced,2025-02-06,Representatives Joers and Udell added as coauthors,2025-02-24,https://legiscan.com/WI/bill/AB11/2025,Bill Text/bill_3104433.pdf,Bill Text/bill_3104433.txt,Assembly Amendment 1,Bill Text/amendment_227081.pdf,Bill Text/amendment_227081.txt,,"2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Health, Aging and Long-Term Care; 2025-02-10 - Representative Sinicki added as a coauthor; 2025-02-11 - Representative Stubbs added as a coauthor; 2025-02-12 - Public hearing held; 2025-02-12 - Assembly Amendment 1 offered by Representative Goeben; 2025-02-13 - Representative Vining added as a coauthor; 2025-02-14 - Representative Emerson added as a coauthor; 2025-02-20 - Representative Roe added as a coauthor; 2025-02-21 - Representative J. Jacobson added as a coauthor; 2025-02-24 - Representatives Joers and Udell added as coauthors"
Assembly Bill,1958951,AB12,2025-2026 Regular Session,State agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE),"An Act to renumber and amend 251.07; to amend 165.25 (6) (c), 251.07 (title), 252.04 (9) and 895.46 (5) (b); to create 251.07 (1) and 252.01 (5) of the statutes; Relating to: state agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE)",Introduced,2025-02-06,Public hearing held,2025-02-12,https://legiscan.com/WI/bill/AB12/2025,Bill Text/bill_3104537.pdf,Bill Text/bill_3104537.txt,,,,,"2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Health, Aging and Long-Term Care; 2025-02-11 - Representative Stubbs added as a coauthor; 2025-02-12 - Public hearing held"
Assembly Bill,1959015,AB13,2025-2026 Regular Session,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,Introduced,2025-02-06,Read first time and referred to Committee on Campaigns and Elections,2025-02-06,https://legiscan.com/WI/bill/AB13/2025,Bill Text/bill_3104599.pdf,Bill Text/bill_3104599.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Campaigns and Elections
Assembly Bill,1958879,AB14,2025-2026 Regular Session,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,Introduced,2025-02-06,Read first time and referred to Committee on Campaigns and Elections,2025-02-06,https://legiscan.com/WI/bill/AB14/2025,Bill Text/bill_3104467.pdf,Bill Text/bill_3104467.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Campaigns and Elections
Assembly Bill,1958808,AB15,2025-2026 Regular Session,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,Introduced,2025-02-06,Read first time and referred to Committee on Campaigns and Elections,2025-02-06,https://legiscan.com/WI/bill/AB15/2025,Bill Text/bill_3104399.pdf,Bill Text/bill_3104399.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Campaigns and Elections
Assembly Bill,1959192,AB16,2025-2026 Regular Session,Repealing an administrative rule of the Department of Natural Resources related to the possession of firearms.,An Act Relating to: repealing an administrative rule of the Department of Natural Resources related to the possession of firearms.,Introduced,2025-02-06,Read first time and referred to Committee on Environment,2025-02-06,https://legiscan.com/WI/bill/AB16/2025,Bill Text/bill_3104777.pdf,Bill Text/bill_3104777.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Environment
Assembly Bill,1959051,AB17,2025-2026 Regular Session,"Creating an employee ownership conversion costs tax credit, a deduction for capital gains from the transfer of a business to employee ownership, and an employee ownership education and outreach program. (FE)","An Act to amend 71.05 (6) (a) 15., 71.21 (4) (a), 71.26 (2) (a) 4., 71.34 (1k) (g) and 71.45 (2) (a) 10.; to create 71.05 (6) (b) 57., 71.07 (12), 71.10 (4) (em), 71.26 (2) (a) 13., 71.28 (12), 71.30 (3) (am), 71.45 (2) (a) 25., 71.47 (12), 71.49 (1) (am), 73.03 (78) and 73.03 (79) of the statutes; Relating to: creating an employee ownership conversion costs tax credit, a deduction for capital gains from the transfer of a business to employee ownership, and an employee ownership education and outreach program. (FE)",Introduced,2025-02-06,Representative J. Jacobson added as a coauthor,2025-02-21,https://legiscan.com/WI/bill/AB17/2025,Bill Text/bill_3104636.pdf,Bill Text/bill_3104636.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Ways and Means; 2025-02-19 - Fiscal estimate received; 2025-02-21 - Representative J. Jacobson added as a coauthor
Assembly Bill,1958913,AB18,2025-2026 Regular Session,Fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),An Act to amend 27.01 (9) (bn) (title); to create 27.01 (9) (bg) of the statutes; Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),Introduced,2025-02-06,Fiscal estimate received,2025-03-04,https://legiscan.com/WI/bill/AB18/2025,Bill Text/bill_3104501.pdf,Bill Text/bill_3104501.txt,,,,,"2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Forestry, Parks and Outdoor Recreation; 2025-02-10 - Representative Udell added as a coauthor; 2025-02-21 - Representative J. Jacobson added as a coauthor; 2025-03-04 - Fiscal estimate received"
Assembly Bill,1958737,AB19,2025-2026 Regular Session,Increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.,"An Act to renumber 940.198 (1) (a) and 971.109 (1) (a); to renumber and amend 939.623 (1); to amend 343.12 (7) (c) 9j., 813.12 (5b), 813.123 (6g), 813.125 (5b), 911.01 (4) (c), 939.623 (title), 939.623 (2) (intro.), 939.623 (3), 940.198 (title), 940.198 (1) (b), 940.198 (2) (a), 940.198 (2) (b), 940.198 (2) (c), 940.198 (3) (a), 940.198 (3) (b), 940.198 (3) (c), 940.198 (4), 971.109 (title), 971.109 (2) (a) and 971.109 (2) (c); and to create 813.12 (1) (ab), 813.125 (1) (am) 2., 939.623 (1) (b), 940.198 (1) (ag), 940.225 (1) (e) and 971.109 (1) (ac) of the statutes; Relating to: increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.",Introduced,2025-02-06,Read first time and referred to Committee on Criminal Justice and Public Safety,2025-02-06,https://legiscan.com/WI/bill/AB19/2025,Bill Text/bill_3104325.pdf,Bill Text/bill_3104325.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Criminal Justice and Public Safety
Assembly Bill,1959087,AB20,2025-2026 Regular Session,Allowing certain married persons to claim the earned income tax credit when filing a separate return. (FE),An Act to amend 71.07 (9e) (b); to create 71.07 (9e) (ar) of the statutes; Relating to: allowing certain married persons to claim the earned income tax credit when filing a separate return. (FE),Introduced,2025-02-06,Fiscal estimate received,2025-02-13,https://legiscan.com/WI/bill/AB20/2025,Bill Text/bill_3104672.pdf,Bill Text/bill_3104672.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Ways and Means; 2025-02-07 - Representatives Maxey and Palmeri added as coauthors; 2025-02-13 - Fiscal estimate received
Assembly Bill,1958703,AB21,2025-2026 Regular Session,Technical colleges’ lease of their facilities to others. (FE),An Act to amend 38.14 (2) (d) 1. of the statutes; Relating to: technical colleges’ lease of their facilities to others. (FE),Introduced,2025-02-06,Representative Piwowarczyk withdrawn as a coauthor,2025-02-25,https://legiscan.com/WI/bill/AB21/2025,Bill Text/bill_3104291.pdf,Bill Text/bill_3104291.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Colleges and Universities; 2025-02-19 - Representative Tusler added as a coauthor; 2025-02-20 - Public hearing held; 2025-02-21 - Representative J. Jacobson added as a coauthor; 2025-02-25 - Representative Piwowarczyk withdrawn as a coauthor
Assembly Bill,1958772,AB22,2025-2026 Regular Session,"Limitations on the total value of taxable property that may be included in, and the lifespan of, a tax incremental financing district created in the city of Middleton. (FE)","An Act to create 66.1105 (6) (g) 7. and 66.1105 (17) (h) of the statutes; Relating to: limitations on the total value of taxable property that may be included in, and the lifespan of, a tax incremental financing district created in the city of Middleton. (FE)",Introduced,2025-02-06,Representative J. Jacobson added as a coauthor,2025-02-21,https://legiscan.com/WI/bill/AB22/2025,Bill Text/bill_3104361.pdf,Bill Text/bill_3104361.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Local Government; 2025-02-11 - Representative McCarville added as a coauthor; 2025-02-13 - Fiscal estimate received; 2025-02-21 - Representative J. Jacobson added as a coauthor
